time_s,altitude_km,velocity_mps,accel_mps2,dynamic_pressure_kPa,mass_kg
385,166.648,6061.4,17.65,0.0,299210
386,166.876,6079.0,17.44,0.0,297196
387,167.102,6096.3,17.23,0.0,295182
388,167.328,6113.4,17.01,0.0,293168
389,167.554,6130.3,16.79,0.0,291154
390,167.779,6147.0,16.56,0.0,289140
391,168.004,6163.5,16.32,0.0,287126
392,168.227,6179.7,16.08,0.0,285112
393,168.451,6195.6,15.83,0.0,283098
394,168.674,6211.3,15.58,0.0,281084
395,168.896,6226.8,15.32,0.0,279070
396,169.118,6242.0,15.06,0.0,277056
397,169.339,6256.9,14.79,0.0,275042
398,169.56,6271.5,14.51,0.0,273028
399,169.78,6285.9,14.23,0.0,271014
400,170.0,6300.0,13.94,0.0,269000
401,170.219,6313.8,13.66,0.0,266986
402,170.438,6327.3,13.4,0.0,264972
403,170.657,6340.6,13.15,0.0,262958
404,170.875,6353.6,12.92,0.0,260944
405,171.092,6366.5,12.71,0.0,258930
406,171.309,6379.1,12.52,0.0,256916
407,171.525,6391.5,12.34,0.0,254902
408,171.741,6403.8,12.18,0.0,252888
409,171.956,6415.9,12.04,0.0,250874
410,172.17,6427.9,11.92,0.0,248860
411,172.384,6439.7,11.81,0.0,246846
412,172.597,6451.5,11.72,0.0,244832
413,172.81,6463.2,11.65,0.0,242818
414,173.021,6474.8,11.6,0.0,240804
415,173.232,6486.4,11.56,0.0,238790
416,173.442,6497.9,11.55,0.0,236776
417,173.652,6509.5,11.55,0.0,234762
418,173.86,6521.0,11.56,0.0,232748
419,174.068,6532.6,11.6,0.0,230734
420,174.275,6544.2,11.65,0.0,228720
421,174.481,6555.9,11.72,0.0,226706
422,174.687,6567.7,11.81,0.0,224692
423,174.891,6579.5,11.91,0.0,222678
424,175.095,6591.5,12.03,0.0,220664
425,175.297,6603.6,12.17,0.0,218650
426,175.499,6615.9,12.33,0.0,216636
427,175.699,6628.3,12.5,0.0,214622
428,175.899,6640.9,12.7,0.0,212608
429,176.098,6653.7,12.91,0.0,210594
430,176.295,6666.7,13.13,0.0,208580
431,176.492,6679.9,13.38,0.0,206566
432,176.687,6693.4,13.64,0.0,204552
433,176.882,6707.2,13.92,0.0,202538
434,177.075,6721.3,14.22,0.0,200524
435,177.267,6735.7,14.53,0.0,198510
436,177.458,6750.4,14.87,0.0,196496
437,177.648,6765.4,15.22,0.0,194482
438,177.836,6780.8,15.58,0.0,192468
439,178.024,6796.6,15.97,0.0,190454
440,178.21,6812.8,16.37,0.0,188440
441,178.395,6829.3,16.79,0.0,186426
442,178.579,6846.4,17.23,0.0,184412
443,178.761,6863.8,17.69,0.0,182398
444,178.942,6881.7,18.16,0.0,180384
445,179.122,6900.1,18.65,0.0,178370
446,179.3,6919.0,19.16,0.0,176356
447,179.477,6938.5,19.68,0.0,174342
448,179.653,6958.4,20.23,0.0,172328
449,179.827,6978.9,20.79,0.0,170314
450,180.0,7000.0,21.37,0.0,168300
451,180.171,7021.6,21.92,0.0,166286
452,180.341,7043.8,22.4,0.0,164272
453,180.51,7066.4,22.81,0.0,162258
454,180.677,7089.4,23.15,0.0,160244
455,180.843,7112.7,23.42,0.0,158230
456,181.008,7136.2,23.62,0.0,156216
457,181.172,7159.9,23.75,0.0,154202
458,181.334,7183.7,23.81,0.0,152188
459,181.495,7207.5,23.8,0.0,150174
460,181.656,7231.3,23.72,0.0,148160
461,181.815,7255.0,23.57,0.0,146146
462,181.973,7278.4,23.35,0.0,144132
463,182.131,7301.6,23.05,0.0,142118
464,182.287,7324.5,22.69,0.0,140104
465,182.443,7347.0,22.26,0.0,138090
466,182.597,7369.0,21.75,0.0,136076
467,182.752,7390.5,21.18,0.0,134062
468,182.905,7411.3,20.53,0.0,132048
469,183.057,7431.5,19.82,0.0,130034
470,183.21,7450.9,19.03,0.0,128020
471,183.361,7469.6,18.18,0.0,126006
472,183.512,7487.3,17.25,0.0,123992
473,183.662,7504.0,16.26,0.0,121978
474,183.812,7519.8,15.19,0.0,119964
475,183.962,7534.4,14.05,0.0,117950
476,184.111,7547.8,12.84,0.0,115936
477,184.26,7560.1,11.57,0.0,113922
478,184.408,7570.9,10.22,0.0,111908
479,184.556,7580.5,8.8,0.0,109894
480,184.704,7588.5,7.31,0.0,107880
481,184.852,7595.1,5.75,0.0,105866
482,185.0,7600.0,4.12,0.0,103852
483,185.148,7603.3,2.62,0.0,101838
484,185.294,7605.4,1.45,0.0,99824
485,185.439,7606.4,0.62,0.0,97810
486,185.58,7606.7,0.11,0.0,95796
487,185.718,7606.7,0.0,0.0,93782
488,185.852,7606.7,0.09,0.0,91768
489,185.979,7607.0,0.58,0.0,89754
490,186.1,7608.0,1.4,0.0,87740
491,186.214,7609.9,2.56,0.0,85726
492,186.319,7613.2,4.04,0.0,83712
493,186.415,7618.1,5.85,0.0,81698
494,186.5,7625.0,8.0,0.0,79684
