time_s,altitude_km,velocity_mps,accel_mps2,dynamic_pressure_kPa,mass_kg
119,42.24,1712.8,28.02,2.291,1084090
120,42.679,1740.6,27.71,2.171,1071282
121,43.148,1768.2,27.37,2.044,1058474
122,43.648,1795.4,27.0,1.913,1045667
123,44.18,1822.2,26.61,1.777,1032859
124,44.748,1848.6,26.18,1.64,1020051
125,45.354,1874.5,25.72,1.502,1007244
126,46.0,1900.0,25.23,1.366,994436
127,46.687,1925.0,24.73,1.232,820422
128,47.414,1949.5,24.24,2.574,818408
129,48.18,1973.5,23.75,2.395,816394
130,48.981,1997.0,23.27,2.217,814380
131,49.817,2020.0,22.8,2.041,812366
132,50.685,2042.6,22.34,1.87,810352
133,51.584,2064.7,21.88,1.717,808338
134,52.51,2086.3,21.43,1.575,806324
135,53.463,2107.5,20.99,1.439,804310
136,54.44,2128.3,20.56,1.311,802296
137,55.44,2148.7,20.13,1.191,800282
138,56.46,2168.6,19.72,1.078,798268
139,57.498,2188.1,19.31,0.974,796254
140,58.553,2207.2,18.9,0.878,794240
141,59.622,2225.9,18.51,0.79,792226
142,60.704,2244.2,18.12,0.709,790212
143,61.796,2262.1,17.74,0.635,788198
144,62.896,2279.7,17.36,0.569,786184
145,64.004,2296.9,17.0,0.509,784170
146,65.115,2313.7,16.64,0.455,782156
147,66.23,2330.2,16.29,0.406,780142
148,67.344,2346.3,15.95,0.363,778128
149,68.458,2362.1,15.61,0.324,776114
150,69.568,2377.5,15.28,0.289,774100
151,70.673,2392.6,14.96,0.259,772086
152,71.771,2407.4,14.65,0.231,770072
153,72.859,2421.9,14.34,0.207,768058
154,73.936,2436.1,14.04,0.185,766044
155,75.0,2450.0,13.75,0.166,764030
156,76.049,2463.6,13.47,0.15,762016
157,77.083,2476.9,13.21,0.135,760002
158,78.101,2490.0,12.96,0.121,757988
159,79.105,2502.9,12.72,0.11,755974
160,80.094,2515.5,12.5,0.099,753960
161,81.067,2527.9,12.29,0.09,751946
162,82.025,2540.1,12.1,0.08,749932
163,82.969,2552.1,11.93,0.072,747918
164,83.897,2563.9,11.77,0.065,745904
165,84.811,2575.6,11.62,0.058,743890
166,85.71,2587.2,11.49,0.052,741876
167,86.594,2598.6,11.37,0.023,739862
168,87.463,2609.9,11.27,0.021,737848
169,88.317,2621.1,11.18,0.02,735834
170,89.156,2632.3,11.11,0.019,733820
171,89.981,2643.4,11.05,0.018,731806
172,90.791,2654.4,11.01,0.017,729792
173,91.587,2665.4,10.98,0.017,727778
174,92.367,2676.4,10.97,0.016,725764
175,93.134,2687.3,10.97,0.015,723750
176,93.885,2698.3,10.99,0.014,721736
177,94.622,2709.3,11.02,0.014,719722
178,95.345,2720.4,11.07,0.013,717708
179,96.053,2731.5,11.13,0.013,715694
180,96.747,2742.6,11.2,0.012,713680
181,97.426,2753.9,11.3,0.012,711666
182,98.091,2765.2,11.4,0.011,709652
183,98.742,2776.7,11.52,0.011,707638
184,99.378,2788.3,11.66,0.01,705624
185,100.0,2800.0,11.81,0.01,703610
186,100.608,2811.9,11.96,0.01,694196
187,101.202,2823.9,12.12,0.009,692182
188,101.782,2836.1,12.27,0.009,690168
189,102.349,2848.5,12.41,0.009,688154
190,102.902,2860.9,12.56,0.008,686140
191,103.443,2873.6,12.7,0.008,684126
192,103.971,2886.3,12.83,0.008,682112
193,104.487,2899.2,12.97,0.008,680098
194,104.991,2912.3,13.1,0.007,678084
195,105.483,2925.4,13.23,0.007,676070
196,105.964,2938.7,13.35,0.007,674056
197,106.433,2952.1,13.47,0.007,672042
198,106.892,2965.7,13.59,0.007,670028
199,107.34,2979.3,13.71,0.007,668014
200,107.778,2993.1,13.82,0.006,666000
201,108.205,3007.0,13.93,0.006,663986
202,108.623,3020.9,14.03,0.006,661972
203,109.031,3035.0,14.13,0.006,659958
204,109.43,3049.2,14.23,0.006,657944
205,109.821,3063.5,14.33,0.006,655930
206,110.202,3077.9,14.42,0.006,653916
207,110.575,3092.3,14.51,0.006,651902
208,110.94,3106.9,14.6,0.006,649888
209,111.297,3121.5,14.68,0.005,647874
210,111.647,3136.2,14.76,0.005,645860
211,111.989,3151.0,14.84,0.005,643846
212,112.324,3165.9,14.91,0.005,641832
213,112.653,3180.9,14.98,0.005,639818
214,112.975,3195.9,15.05,0.005,637804
215,113.291,3210.9,15.11,0.005,635790
216,113.601,3226.1,15.17,0.005,633776
217,113.905,3241.3,15.23,0.005,631762
218,114.204,3256.6,15.29,0.005,629748
219,114.498,3271.9,15.34,0.005,627734
220,114.788,3287.2,15.38,0.005,625720
221,115.073,3302.6,15.43,0.005,623706
222,115.353,3318.1,15.47,0.005,621692
223,115.63,3333.6,15.51,0.005,619678
224,115.903,3349.1,15.55,0.004,617664
225,116.172,3364.7,15.58,0.004,615650
226,116.439,3380.3,15.61,0.004,613636
227,116.702,3395.9,15.63,0.004,611622
228,116.964,3411.5,15.66,0.004,609608
229,117.222,3427.2,15.68,0.004,607594
230,117.479,3442.9,15.69,0.004,605580
231,117.734,3458.6,15.7,0.004,603566
232,117.988,3474.3,15.72,0.004,601552
233,118.241,3490.0,15.72,0.004,599538
234,118.492,3505.7,15.73,0.004,597524
235,118.744,3521.4,15.73,0.004,595510
236,118.994,3537.2,15.72,0.004,593496
237,119.245,3552.9,15.72,0.004,591482
238,119.496,3568.6,15.71,0.004,589468
239,119.748,3584.3,15.7,0.004,587454
240,120.0,3600.0,15.68,0.004,585440
241,120.253,3615.7,15.67,0.004,583426
242,120.508,3631.3,15.65,0.004,581412
243,120.763,3647.0,15.64,0.004,579398
244,121.019,3662.6,15.63,0.004,577384
245,121.276,3678.2,15.63,0.004,575370
246,121.534,3693.9,15.62,0.004,573356
247,121.793,3709.5,15.62,0.004,571342
248,122.052,3725.1,15.63,0.004,569328
249,122.312,3740.7,15.63,0.004,567314
250,122.572,3756.4,15.64,0.003,565300
251,122.833,3772.0,15.65,0.003,563286
252,123.094,3787.7,15.66,0.003,561272
253,123.356,3803.3,15.67,0.003,559258
254,123.618,3819.0,15.69,0.003,557244
255,123.88,3834.7,15.71,0.003,555230
256,124.143,3850.4,15.73,0.003,553216
257,124.405,3866.2,15.75,0.003,551202
258,124.668,3881.9,15.78,0.003,549188
259,124.931,3897.7,15.81,0.003,547174
260,125.193,3913.6,15.84,0.003,545160
261,125.456,3929.4,15.87,0.003,543146
262,125.718,3945.3,15.91,0.003,541132
263,125.981,3961.2,15.95,0.003,539118
264,126.243,3977.2,15.99,0.003,537104
265,126.504,3993.2,16.04,0.003,535090
266,126.765,4009.3,16.08,0.003,533076
267,127.026,4025.4,16.13,0.003,531062
268,127.287,4041.5,16.18,0.003,529048
269,127.546,4057.7,16.24,0.003,527034
270,127.805,4074.0,16.29,0.003,525020
271,128.064,4090.3,16.35,0.003,523006
272,128.321,4106.7,16.41,0.003,520992
273,128.578,4123.2,16.48,0.003,518978
274,128.834,4139.7,16.54,0.003,516964
275,129.09,4156.2,16.61,0.003,514950
276,129.344,4172.9,16.68,0.003,512936
277,129.597,4189.6,16.76,0.003,510922
278,129.849,4206.4,16.83,0.003,508908
279,130.1,4223.3,16.91,0.003,506894
280,130.349,4240.2,17.0,0.003,504880
281,130.598,4257.3,17.08,0.003,502866
282,130.845,4274.4,17.17,0.002,500852
283,131.091,4291.6,17.25,0.002,498838
284,131.335,4308.9,17.35,0.002,496824
285,131.578,4326.3,17.44,0.002,494810
286,131.819,4343.8,17.54,0.002,492796
287,132.059,4361.4,17.63,0.002,490782
288,132.296,4379.1,17.74,0.002,488768
289,132.533,4396.9,17.84,0.002,486754
290,132.767,4414.7,17.95,0.002,484740
291,133.0,4432.7,18.06,0.002,482726
292,133.23,4450.9,18.17,0.002,480712
293,133.459,4469.1,18.28,0.002,478698
294,133.686,4487.4,18.4,0.002,476684
295,133.91,4505.9,18.52,0.002,474670
296,134.133,4524.4,18.64,0.002,472656
297,134.353,4543.1,18.76,0.002,470642
298,134.571,4562.0,18.89,0.002,468628
299,134.787,4580.9,19.02,0.002,466614
300,135.0,4600.0,19.15,0.002,464600
301,135.211,4619.2,19.28,0.002,462586
302,135.419,4638.6,19.4,0.002,460572
303,135.626,4658.0,19.53,0.002,458558
304,135.829,4677.6,19.64,0.002,456544
305,136.031,4697.3,19.76,0.002,454530
306,136.23,4717.1,19.87,0.002,452516
307,136.428,4737.0,19.97,0.002,450502
308,136.623,4757.1,20.07,0.002,448488
309,136.816,4777.2,20.17,0.002,446474
310,137.007,4797.4,20.26,0.002,444460
311,137.196,4817.7,20.35,0.002,442446
312,137.383,4838.1,20.44,0.002,440432
313,137.568,4858.6,20.52,0.002,438418
314,137.751,4879.1,20.59,0.002,436404
315,137.933,4899.8,20.66,0.002,434390
316,138.113,4920.5,20.73,0.002,432376
317,138.291,4941.2,20.8,0.002,430362
318,138.467,4962.0,20.86,0.002,428348
319,138.642,4982.9,20.91,0.002,426334
320,138.815,5003.9,20.96,0.002,424320
321,138.987,5024.9,21.01,0.002,422306
322,139.157,5045.9,21.05,0.002,420292
323,139.325,5067.0,21.09,0.002,418278
324,139.493,5088.1,21.13,0.002,416264
325,139.659,5109.2,21.16,0.002,414250
326,139.823,5130.4,21.18,0.002,412236
327,139.986,5151.6,21.2,0.002,410222
328,140.149,5172.8,21.22,0.002,408208
329,140.31,5194.0,21.24,0.002,406194
330,140.469,5215.3,21.25,0.002,404180
331,140.628,5236.5,21.25,0.002,402166
332,140.786,5257.8,21.25,0.002,400152
333,140.942,5279.0,21.25,0.002,398138
334,141.098,5300.2,21.24,0.002,396124
335,141.253,5321.5,21.23,0.002,394110
336,141.407,5342.7,21.21,0.002,392096
337,141.56,5363.9,21.2,0.002,390082
338,141.712,5385.1,21.17,0.002,388068
339,141.864,5406.3,21.14,0.002,386054
340,142.015,5427.4,21.11,0.002,384040
341,142.165,5448.5,21.08,0.002,382026
342,142.314,5469.5,21.03,0.002,380012
343,142.464,5490.5,20.99,0.002,377998
344,142.612,5511.5,20.94,0.002,375984
345,142.76,5532.4,20.89,0.002,373970
346,142.908,5553.3,20.83,0.002,371956
347,143.055,5574.1,20.77,0.002,369942
348,143.202,5594.8,20.7,0.002,367928
349,143.349,5615.5,20.63,0.002,365914
350,143.496,5636.1,20.56,0.002,363900
351,143.642,5656.6,20.48,0.002,361886
352,143.788,5677.1,20.4,0.002,359872
353,143.934,5697.4,20.31,0.002,357858
354,144.08,5717.7,20.22,0.002,355844
355,144.226,5737.9,20.13,0.002,353830
356,144.372,5757.9,20.03,0.002,351816
357,144.518,5777.9,19.93,0.002,349802
358,144.664,5797.8,19.82,0.002,347788
359,144.81,5817.6,19.71,0.002,345774
360,144.957,5837.2,19.59,0.002,343760
361,145.104,5856.7,19.47,0.002,341746
362,145.251,5876.2,19.35,0.002,339732
363,145.398,5895.4,19.22,0.002,337718
364,145.546,5914.6,19.09,0.002,335704
365,145.694,5933.6,18.95,0.002,333690
366,145.843,5952.5,18.81,0.002,331676
367,145.992,5971.2,18.67,0.002,329662
368,146.142,5989.8,18.52,0.002,327648
369,146.292,6008.3,18.37,0.002,325634
370,146.443,6026.6,18.21,0.002,323620
371,146.595,6044.7,18.05,0.002,321606
372,146.748,6062.7,17.88,0.002,319592
373,146.901,6080.5,17.71,0.002,317578
374,147.055,6098.1,17.54,0.002,315564
375,147.21,6115.5,17.36,0.002,313550
376,147.366,6132.8,17.18,0.002,311536
377,147.523,6149.9,16.99,0.002,309522
378,147.681,6166.8,16.8,0.002,307508
379,147.84,6183.5,16.61,0.002,305494
380,148.0,6200.0,16.41,0.002,303480
381,148.161,6216.3,16.21,0.002,301466
382,148.323,6232.4,16.03,0.001,299452
383,148.486,6248.4,15.85,0.001,297438
384,148.65,6264.1,15.68,0.001,295424
385,148.814,6279.7,15.53,0.001,293410
386,148.978,6295.2,15.38,0.001,291396
387,149.143,6310.5,15.24,0.001,289382
388,149.307,6325.7,15.11,0.001,287368
389,149.471,6340.7,15.0,0.001,285354
390,149.635,6355.7,14.89,0.001,283340
391,149.798,6370.5,14.79,0.001,281326
392,149.96,6385.3,14.7,0.001,279312
393,150.122,6399.9,14.62,0.001,277298
394,150.282,6414.5,14.55,0.001,275284
395,150.441,6429.0,14.5,0.001,273270
396,150.599,6443.5,14.45,0.001,271256
397,150.755,6457.9,14.41,0.001,269242
398,150.909,6472.3,14.38,0.001,267228
399,151.062,6486.7,14.36,0.001,265214
400,151.212,6501.0,14.35,0.001,263200
401,151.36,6515.4,14.35,0.001,261186
402,151.505,6529.7,14.36,0.001,259172
403,151.648,6544.1,14.38,0.001,257158
404,151.788,6558.5,14.41,0.001,255144
405,151.924,6572.9,14.44,0.001,253130
406,152.058,6587.4,14.49,0.001,251116
407,152.188,6601.9,14.55,0.001,249102
408,152.315,6616.5,14.62,0.001,247088
409,152.438,6631.1,14.7,0.001,245074
410,152.558,6645.9,14.79,0.001,243060
411,152.673,6660.7,14.88,0.001,241046
412,152.784,6675.6,14.99,0.001,239032
413,152.891,6690.7,15.11,0.001,237018
414,152.993,6705.9,15.23,0.001,235004
415,153.09,6721.2,15.37,0.001,232990
416,153.183,6736.6,15.52,0.001,230976
417,153.27,6752.2,15.67,0.001,228962
418,153.352,6768.0,15.84,0.001,226948
419,153.429,6783.9,16.02,0.001,224934
420,153.5,6800.0,16.2,0.001,222920
421,153.565,6816.3,16.39,0.001,220906
422,153.625,6832.8,16.56,0.001,218892
423,153.68,6849.4,16.73,0.001,216878
424,153.73,6866.2,16.88,0.001,214864
425,153.775,6883.2,17.02,0.001,212850
426,153.816,6900.3,17.15,0.001,210836
427,153.853,6917.5,17.28,0.001,208822
428,153.885,6934.8,17.39,0.001,206808
429,153.915,6952.2,17.49,0.001,204794
430,153.941,6969.8,17.58,0.001,202780
431,153.964,6987.4,17.65,0.001,200766
432,153.984,7005.1,17.72,0.001,198752
433,154.002,7022.8,17.78,0.001,196738
434,154.017,7040.6,17.83,0.001,194724
435,154.031,7058.5,17.86,0.001,192710
436,154.043,7076.4,17.89,0.001,190696
437,154.054,7094.3,17.9,0.001,188682
438,154.063,7112.2,17.91,0.001,186668
439,154.072,7130.1,17.9,0.001,184654
440,154.08,7148.0,17.88,0.001,182640
441,154.088,7165.8,17.86,0.001,180626
442,154.097,7183.7,17.82,0.001,178612
443,154.105,7201.5,17.77,0.001,176598
444,154.114,7219.2,17.71,0.001,174584
445,154.124,7236.9,17.64,0.001,172570
446,154.135,7254.5,17.56,0.001,170556
447,154.147,7272.0,17.47,0.001,168542
448,154.161,7289.4,17.36,0.001,166528
449,154.177,7306.7,17.25,0.001,164514
450,154.195,7323.9,17.13,0.001,162500
451,154.216,7341.0,16.99,0.001,160486
452,154.239,7357.9,16.85,0.001,158472
453,154.266,7374.7,16.69,0.001,156458
454,154.296,7391.3,16.53,0.001,154444
455,154.329,7407.7,16.35,0.001,152430
456,154.367,7424.0,16.16,0.001,150416
457,154.408,7440.0,15.96,0.001,148402
458,154.454,7455.9,15.75,0.001,146388
459,154.505,7471.5,15.54,0.001,144374
460,154.561,7487.0,15.31,0.001,142360
461,154.621,7502.1,15.06,0.001,140346
462,154.688,7517.1,14.81,0.001,138332
463,154.76,7531.8,14.55,0.001,136318
464,154.839,7546.2,14.28,0.001,134304
465,154.923,7560.3,13.99,0.001,132290
466,155.015,7574.2,13.7,0.001,130276
467,155.113,7587.7,13.4,0.001,128262
468,155.219,7601.0,13.08,0.001,126248
469,155.332,7613.9,12.75,0.001,124234
470,155.452,7626.5,12.42,0.001,122220
471,155.581,7638.7,12.07,0.001,120206
472,155.718,7650.6,11.71,0.001,118192
473,155.864,7662.1,11.34,0.001,116178
474,156.018,7673.3,10.96,0.001,114164
475,156.182,7684.0,10.57,0.001,112150
476,156.355,7694.4,10.17,0.001,110136
477,156.537,7704.4,9.76,0.001,108122
478,156.73,7713.9,9.34,0.001,106108
479,156.933,7723.1,8.91,0.001,104094
480,157.146,7731.8,8.46,0.001,102080
481,157.37,7740.0,8.01,0.001,100066
482,157.605,7747.8,7.55,0.001,98052
483,157.852,7755.1,7.07,0.001,96038
484,158.11,7761.9,6.59,0.001,94024
485,158.38,7768.3,6.09,0.001,92010
486,158.662,7774.1,5.58,0.001,89996
487,158.956,7779.4,5.06,0.001,87982
488,159.264,7784.2,4.54,0.001,85968
489,159.584,7788.5,4.0,0.001,83954
490,159.917,7792.2,3.45,0.001,81940
491,160.264,7795.4,2.89,0.001,79926
492,160.625,7798.0,2.32,0.001,77912
493,161.0,7800.0,1.73,0.001,75898
494,161.385,7801.6,1.59,0.001,73884
495,161.755,7803.5,2.35,0.001,71870
496,162.083,7806.6,4.01,0.001,69856
497,162.341,7811.8,6.55,0.001,67842
498,162.5,7820.0,10.0,0.001,65828
