timestamp,top_left,top_right,bottom_left,bottom_right
25.0,33.7,35.1,34.0,34.5
25.5,33.7,35.2,34.0,34.5
26.0,33.7,35.2,34.1,34.6
26.5,33.7,35.3,34.1,34.7
27.0,33.8,35.3,34.2,34.7
27.5,33.8,35.4,34.3,34.8
28.0,33.9,35.5,34.3,34.8
28.5,33.8,35.5,34.4,34.9
29.0,33.8,35.5,34.3,35.0
29.5,33.8,35.5,34.4,35.1
30.0,33.9,35.5,34.5,35.1
30.5,33.9,35.7,34.5,35.2
31.0,34.1,35.9,34.8,35.3
31.5,34.2,36.0,34.9,35.4
32.0,34.3,36.1,35.0,35.5
32.5,34.3,36.2,35.0,35.6
33.0,34.5,36.4,35.2,35.8
33.5,34.5,36.4,35.2,35.9
34.0,34.6,36.6,35.4,36.0
34.5,34.6,36.7,35.6,36.1
35.0,34.6,36.7,35.6,36.2
35.5,34.7,36.8,35.7,36.3
36.0,34.7,36.8,35.8,36.4
36.5,34.8,37.0,36.0,36.5
37.0,35.0,37.2,36.1,36.6
37.5,35.0,37.3,36.2,36.7
38.0,35.1,37.5,36.3,36.8
38.5,35.2,37.5,36.5,36.9
39.0,35.2,37.6,36.5,37.0
39.5,35.3,37.8,36.6,37.1
40.0,35.3,37.8,36.7,37.2
40.5,35.5,37.9,36.8,37.3
41.0,35.4,38.0,36.8,37.4
41.5,35.5,38.0,36.9,37.5
42.0,35.6,38.2,37.1,37.5
42.5,35.7,38.3,37.2,37.7
43.0,35.7,38.4,37.2,37.8
43.5,35.8,38.5,37.4,37.9
44.0,36.0,38.6,37.5,38.0
44.5,36.1,38.8,37.6,38.1
45.0,36.1,38.8,37.8,38.3
45.5,36.3,39.1,38.0,38.4
46.0,36.3,39.2,37.9,38.5
46.5,36.4,39.3,38.1,38.6
47.0,36.4,39.3,38.2,38.7
47.5,36.5,39.4,38.2,38.8
48.0,36.6,39.5,38.4,38.9
48.5,36.7,39.7,38.5,39.1
49.0,36.8,39.7,38.5,39.1
49.5,37.0,39.9,38.7,39.2
50.0,37.1,40.2,38.9,39.4
50.5,37.0,40.2,38.9,39.5
51.0,37.1,40.3,39.0,39.7
51.5,37.2,40.4,39.1,39.8
52.0,37.4,40.6,39.2,40.0
52.5,37.6,40.9,39.6,40.1
53.0,37.7,40.9,39.7,40.2
53.5,37.8,41.1,39.8,40.3
54.0,37.9,41.2,40.0,40.4
54.5,37.9,41.3,40.0,40.5
55.0,38.0,41.3,40.1,40.7
55.5,38.1,41.4,40.2,40.8
56.0,38.1,41.6,40.4,40.9
56.5,38.3,41.8,40.6,41.0
57.0,38.4,41.8,40.7,41.1
57.5,38.7,42.0,40.8,41.3
58.0,38.7,42.2,40.9,41.4
58.5,38.8,42.3,41.1,41.5
59.0,38.8,42.4,41.2,41.7
59.5,38.9,42.6,41.3,41.8
60.0,39.0,42.8,41.5,41.9
60.5,39.2,42.9,41.6,42.1
61.0,39.3,43.0,41.7,42.2
61.5,39.4,43.2,42.0,42.4
62.0,39.5,43.3,42.0,42.5
62.5,39.6,43.4,42.1,42.6
63.0,39.6,43.4,42.1,42.8
63.5,39.7,43.6,42.5,42.9
64.0,39.9,43.9,42.5,43.0
64.5,40.0,43.9,42.6,43.0
65.0,40.2,44.0,42.8,43.1
65.5,40.3,44.1,42.8,43.2
66.0,40.3,44.3,42.9,43.3
66.5,40.3,44.2,42.9,43.4
67.0,40.3,44.2,42.9,43.6
67.5,40.3,44.2,42.9,43.9
68.0,41.0,45.0,43.9,44.2
68.5,41.1,45.2,44.0,44.5
69.0,42.0,46.0,44.9,44.8
69.5,42.1,46.2,45.1,45.2
70.0,42.4,46.5,45.4,45.5
70.5,42.6,46.7,45.5,45.8
71.0,42.6,46.7,45.6,46.0
71.5,42.9,47.2,46.0,46.2
72.0,43.0,47.2,46.0,46.4
72.5,43.1,47.3,46.2,46.4
73.0,43.2,47.5,46.4,46.6
73.5,43.3,47.6,46.4,46.7
74.0,43.4,47.7,46.5,46.8
74.5,43.5,47.9,46.6,46.9
75.0,43.6,48.0,46.8,47.0
75.5,43.7,48.1,46.8,47.2
76.0,43.8,48.2,47.0,47.3
76.5,43.9,48.4,47.1,47.4
77.0,44.1,48.5,47.2,47.6
77.5,44.0,48.6,47.4,47.7
78.0,44.2,48.8,47.6,47.8
78.5,44.3,48.9,47.6,48.0
79.0,44.4,48.9,47.6,48.1
79.5,44.4,48.9,47.7,48.1
80.0,44.5,49.0,47.8,48.2
80.5,44.5,49.1,47.8,48.3
81.0,44.4,49.1,47.9,48.4
81.5,44.5,49.2,48.0,48.5
82.0,44.5,49.4,48.1,48.6
82.5,44.5,49.5,48.2,48.7
83.0,44.7,49.6,48.4,48.7
83.5,44.9,49.7,48.5,48.8
84.0,45.0,49.8,48.5,49.0
84.5,45.1,49.9,48.7,49.1
85.0,45.1,50.0,48.8,49.2
85.5,45.1,50.1,48.8,49.2
86.0,45.2,50.2,49.0,49.3
86.5,45.3,50.3,49.1,49.4
87.0,45.4,50.4,49.1,49.5
87.5,45.5,50.5,49.2,49.6
88.0,45.5,50.5,49.3,49.7
88.5,45.5,50.6,49.4,49.8
89.0,45.7,50.8,49.5,49.9
89.5,45.9,51.0,49.7,50.0
90.0,45.9,51.1,49.8,50.1
90.5,46.0,51.2,49.9,50.2
91.0,46.2,51.4,50.1,50.4
91.5,46.2,51.4,50.2,50.5
92.0,46.3,51.6,50.3,50.6
92.5,46.5,51.7,50.3,50.7
93.0,46.6,51.8,50.5,50.8
93.5,46.7,52.0,50.7,50.9
94.0,46.8,52.1,50.9,51.0
94.5,46.8,52.2,51.0,51.2
95.0,46.9,52.3,51.1,51.3
95.5,47.0,52.4,51.1,51.4
96.0,47.1,52.5,51.3,51.6
96.5,47.2,52.7,51.4,51.8
97.0,47.4,52.8,51.7,51.9
97.5,47.6,53.1,51.9,52.1
98.0,47.7,53.2,51.9,52.3
98.5,47.8,53.3,52.0,52.4
99.0,47.8,53.4,52.1,52.5
99.5,48.0,53.5,52.2,52.6
100.0,48.0,53.5,52.3,52.7
100.5,48.0,53.5,52.3,52.8
101.0,48.3,53.8,52.6,52.9
101.5,48.4,54.0,52.7,52.8
102.0,48.5,54.1,52.9,52.6
102.5,48.6,54.2,53.0,52.8
103.0,48.7,54.3,53.1,53.4
103.5,48.8,54.5,53.4,54.1
104.0,48.8,54.6,53.4,55.1
104.5,49.1,54.9,53.6,56.2
105.0,49.2,54.9,53.7,57.3
105.5,49.3,55.1,53.8,58.4
106.0,49.5,55.3,54.1,59.5
106.5,49.7,55.5,54.3,60.5
107.0,49.7,55.5,54.3,61.3
107.5,49.8,55.7,54.6,61.8
108.0,50.0,55.9,54.7,62.0
108.5,50.0,56.1,54.8,61.9
109.0,50.2,56.2,54.9,61.8
109.5,50.2,56.2,55.0,62.0
110.0,50.4,56.4,55.1,62.1
110.5,50.4,56.3,55.2,62.2
111.0,50.6,56.5,55.4,62.4
111.5,50.6,56.7,55.5,62.5
112.0,50.6,56.7,55.5,62.7
112.5,50.6,56.7,55.5,62.8
113.0,50.9,57.0,56.0,63.0
113.5,50.9,57.0,56.0,63.1
114.0,51.1,57.3,56.0,63.2
114.5,51.2,57.3,56.2,63.4
115.0,51.4,57.6,56.4,63.5
115.5,51.5,57.8,56.5,63.7
116.0,51.6,57.8,56.6,63.8
116.5,51.7,57.9,56.8,64.0
117.0,51.8,58.0,57.0,64.1
117.5,51.8,58.2,57.0,64.3
118.0,52.1,58.4,57.2,64.4
118.5,52.1,58.5,57.3,64.8
119.0,52.2,58.6,57.4,65.1
119.5,52.3,58.7,57.6,65.1
120.0,52.3,58.7,57.6,64.9
120.5,52.3,58.7,57.6,64.5
121.0,52.3,58.7,57.5,63.9
121.5,53.2,59.7,58.4,63.2
122.0,53.6,60.0,58.8,62.5
122.5,53.9,60.2,59.0,61.7
123.0,54.2,60.6,59.4,61.0
123.5,54.3,60.8,59.6,60.5
124.0,54.6,60.9,59.8,60.0
124.5,54.6,60.9,59.8,59.8
125.0,54.8,61.2,60.0,59.9
125.5,55.0,61.4,60.3,60.3
126.0,55.0,61.4,60.3,60.6
126.5,55.1,61.6,60.5,60.7
127.0,55.2,61.8,60.6,60.8
127.5,55.4,62.0,60.7,60.9
128.0,55.4,62.0,60.8,61.0
128.5,55.4,62.0,60.8,61.1
129.0,55.5,62.2,60.9,61.2
129.5,55.8,62.2,61.0,61.3
130.0,55.8,62.4,61.1,61.5
130.5,55.9,62.6,61.3,61.6
131.0,56.0,62.8,61.6,61.7
131.5,56.1,62.9,61.7,61.8
132.0,56.3,63.0,61.7,62.0
132.5,56.3,63.0,61.7,62.1
133.0,56.4,63.2,61.9,62.2
133.5,56.4,63.2,62.0,62.3
134.0,56.5,63.4,62.1,62.4
134.5,56.6,63.6,62.3,62.5
135.0,56.7,63.7,62.4,62.6
135.5,56.8,63.7,62.4,62.7
136.0,56.9,63.8,62.6,62.8
136.5,56.9,63.8,62.7,62.9
137.0,57.0,64.1,62.8,63.0
137.5,57.2,64.2,62.9,63.1
138.0,57.3,64.3,63.0,63.2
138.5,57.3,64.3,63.1,63.3
139.0,57.5,64.5,63.2,63.4
139.5,57.5,64.6,63.3,63.5
140.0,57.7,64.7,63.4,63.7
140.5,57.8,64.8,63.6,63.8
141.0,57.9,64.9,63.7,63.9
141.5,58.0,65.0,63.7,64.0
142.0,58.0,65.0,63.7,64.1
142.5,58.1,65.1,64.1,64.2
143.0,58.1,65.3,64.2,64.3
143.5,58.2,65.3,64.2,64.4
144.0,58.3,65.4,64.2,64.5
144.5,58.5,65.5,64.4,64.6
145.0,58.5,65.6,64.5,64.6
145.5,58.5,65.6,64.5,64.7
146.0,58.7,65.7,64.6,64.8
146.5,58.8,65.8,64.7,64.9
147.0,58.9,66.0,64.9,65.0
147.5,58.9,66.0,64.9,65.1
148.0,58.9,66.0,65.0,65.1
148.5,59.0,66.2,65.0,65.2
149.0,59.0,66.3,65.1,65.3
149.5,59.1,66.4,65.2,65.4
150.0,59.1,66.5,65.3,65.5
150.5,59.1,66.5,65.3,65.6
151.0,59.2,66.6,65.4,65.6
151.5,59.3,66.6,65.4,65.6
152.0,59.4,66.6,65.5,65.7
152.5,59.4,66.7,65.6,65.7
153.0,59.4,66.7,65.7,65.7
153.5,59.5,66.7,65.6,65.7
154.0,59.5,66.7,65.6,65.8
154.5,59.5,66.7,65.6,65.8
155.0,59.5,66.7,65.6,65.9
155.5,59.6,66.8,65.8,65.9
156.0,59.7,66.9,65.8,65.9
156.5,59.8,67.0,66.0,66.0
157.0,59.9,67.1,66.1,66.0
157.5,60.0,67.2,66.1,66.1
158.0,60.0,67.3,66.1,66.1
158.5,60.0,67.3,66.1,66.1
159.0,60.0,67.3,66.1,66.2
159.5,60.0,67.3,66.2,66.2
160.0,60.2,67.3,66.3,66.3
160.5,60.1,67.4,66.3,66.3
161.0,60.2,67.4,66.3,66.4
161.5,60.2,67.4,66.4,66.4
162.0,60.4,67.5,66.4,66.5
162.5,60.4,67.5,66.5,66.5
163.0,60.4,67.5,66.5,66.6
163.5,60.4,67.7,66.5,66.6
164.0,60.4,67.7,66.6,66.7
164.5,60.4,67.7,66.7,66.7
165.0,60.5,67.7,66.7,66.8
165.5,60.7,67.9,66.9,66.9
166.0,60.7,67.9,66.9,66.9
166.5,60.7,68.0,66.9,67.0
167.0,60.8,68.0,67.1,67.0
167.5,60.8,68.0,67.1,67.1
168.0,60.9,68.1,67.2,67.2
168.5,61.0,68.3,67.2,67.2
169.0,61.1,68.3,67.3,67.3
169.5,61.2,68.3,67.2,67.3
170.0,61.2,68.4,67.4,67.4
170.5,61.2,68.4,67.4,67.5
171.0,61.3,68.4,67.4,67.5
171.5,61.3,68.5,67.5,67.6
172.0,61.3,68.6,67.7,67.6
172.5,61.4,68.7,67.8,67.7
173.0,61.6,68.7,67.9,67.8
173.5,61.7,68.8,68.0,67.8
174.0,61.7,68.8,67.9,67.9
174.5,61.8,68.9,67.9,67.9
175.0,61.8,68.9,68.0,68.0
175.5,61.7,69.1,68.0,68.1
176.0,61.8,69.1,68.0,68.1
176.5,61.8,69.1,68.2,68.2
177.0,62.1,69.3,68.3,68.2
177.5,62.0,69.3,68.3,68.3
178.0,62.0,69.3,68.3,68.3
178.5,62.0,69.3,68.3,68.4
179.0,62.0,69.3,68.3,68.4
179.5,62.0,69.3,68.3,68.5
180.0,62.4,69.7,68.7,68.6
180.5,62.4,69.7,68.7,68.7
181.0,62.5,69.7,68.7,68.8
181.5,62.5,69.8,68.8,68.9
182.0,62.6,69.7,69.0,69.0
182.5,62.6,69.8,68.9,69.2
183.0,62.6,69.8,68.9,69.3
183.5,62.6,69.8,68.9,69.4
184.0,62.9,70.2,69.3,69.6
184.5,63.2,70.4,69.7,69.7
185.0,63.5,70.7,70.0,69.8
185.5,63.7,70.9,70.1,70.0
186.0,63.9,71.1,70.4,70.1
186.5,64.0,71.1,70.4,70.2
187.0,64.1,71.2,70.5,70.3
187.5,64.2,71.4,70.7,70.4
188.0,64.2,71.4,70.7,70.5
188.5,64.2,71.4,70.7,70.5
189.0,64.2,71.4,70.7,70.6
189.5,64.3,71.4,70.7,70.6
190.0,64.3,71.4,70.7,70.7
190.5,64.3,71.4,70.8,70.7
191.0,64.4,71.5,70.8,70.7
191.5,64.4,71.5,70.8,70.7
192.0,64.4,71.6,70.7,70.7
192.5,64.4,71.6,70.7,70.7
193.0,64.4,71.5,70.6,70.6
193.5,64.3,71.6,70.6,70.6
194.0,64.3,71.6,70.6,70.6
194.5,64.3,71.6,70.6,70.6
195.0,64.3,71.6,70.5,70.6
195.5,64.3,71.5,70.5,70.6
196.0,64.2,71.6,70.6,70.7
196.5,64.2,71.5,70.6,70.7
197.0,64.2,71.5,70.5,70.7
197.5,64.2,71.5,70.5,70.7
198.0,64.2,71.5,70.5,70.7
198.5,64.3,71.6,70.6,70.7
199.0,64.3,71.6,70.7,70.7
199.5,64.2,71.5,70.7,70.7
200.0,64.3,71.7,70.7,70.8
200.5,64.3,71.8,70.8,70.8
201.0,64.3,71.8,70.8,70.8
201.5,64.4,71.8,70.8,70.9
202.0,64.3,71.7,70.8,70.9
202.5,64.3,71.7,70.8,71.0
203.0,64.3,71.8,70.8,71.0
203.5,64.6,71.9,71.0,71.0
204.0,64.6,71.9,71.0,71.1
204.5,64.6,71.9,71.0,71.2
205.0,64.6,71.8,71.0,71.2
205.5,64.6,71.9,71.1,71.2
206.0,64.6,72.0,71.1,71.3
206.5,64.5,72.0,71.2,71.4
207.0,64.5,72.0,71.2,71.4
207.5,64.6,72.0,71.2,71.4
208.0,64.6,72.1,71.3,71.5
208.5,64.6,72.1,71.3,71.5
209.0,64.6,72.1,71.3,71.6
209.5,64.6,72.1,71.4,71.6
210.0,64.8,72.3,71.5,71.6
210.5,64.8,72.3,71.6,71.6
211.0,64.7,72.3,71.6,71.7
211.5,64.8,72.4,71.6,71.7
212.0,64.9,72.3,71.6,71.7
212.5,65.0,72.4,71.6,71.7
213.0,65.0,72.5,71.6,71.7
213.5,65.0,72.4,71.7,71.8
214.0,65.0,72.4,71.7,71.8
214.5,65.0,72.4,71.7,71.8
215.0,65.0,72.4,71.8,71.8
215.5,65.0,72.4,71.9,71.8
216.0,65.0,72.4,71.9,71.9
216.5,65.0,72.5,71.8,71.9
217.0,65.1,72.6,71.9,71.9
217.5,65.0,72.6,71.9,71.9
218.0,65.1,72.6,71.9,71.9
218.5,65.3,72.6,71.9,71.9
219.0,65.4,72.8,72.2,72.0
219.5,65.4,72.7,72.1,72.0
220.0,65.3,72.7,72.1,72.0
220.5,65.4,72.7,72.0,72.0
221.0,65.3,72.6,72.1,72.0
221.5,65.2,72.6,72.0,72.1
222.0,65.3,72.6,72.0,72.1
222.5,65.3,72.6,72.1,72.1
223.0,65.3,72.8,72.1,72.2
223.5,65.3,72.8,72.1,72.2
224.0,65.3,72.8,72.1,72.2
224.5,65.3,72.8,72.1,72.2
225.0,65.3,72.8,72.1,72.3
225.5,65.3,72.8,72.1,72.3
226.0,65.6,73.0,72.3,72.3
226.5,65.6,73.1,72.4,72.4
227.0,65.7,73.0,72.5,72.4
227.5,65.6,73.0,72.4,72.4
228.0,65.6,73.0,72.4,72.5
228.5,65.6,73.0,72.5,72.5
229.0,65.6,73.0,72.5,72.5
229.5,65.6,73.0,72.5,72.6
230.0,65.8,73.2,72.7,72.6
230.5,65.8,73.2,72.7,72.7
231.0,65.8,73.2,72.7,72.7
231.5,65.8,73.2,72.7,72.8
232.0,65.9,73.2,72.6,72.8
232.5,65.9,73.2,72.7,72.8
233.0,66.0,73.3,72.8,72.9
233.5,66.0,73.3,72.8,72.9
234.0,66.0,73.4,72.8,73.0
234.5,66.0,73.4,72.8,73.0
235.0,66.0,73.5,72.9,73.0
235.5,66.1,73.5,73.0,73.1
236.0,66.1,73.5,72.9,73.1
236.5,66.0,73.5,72.9,73.1
237.0,66.0,73.5,73.0,73.2
237.5,66.1,73.7,73.1,73.2
238.0,66.0,73.7,73.1,73.2
238.5,66.1,73.6,73.1,73.3
239.0,66.0,73.7,73.1,73.3
239.5,66.1,73.7,73.1,73.3
240.0,66.1,73.7,73.1,73.3
240.5,66.2,73.7,73.2,73.4
241.0,66.2,73.7,73.2,73.4
241.5,66.3,73.8,73.3,73.4
242.0,66.3,73.8,73.3,73.4
242.5,66.4,73.9,73.4,73.5
243.0,66.4,73.9,73.4,73.5
243.5,66.4,73.9,73.4,73.5
244.0,66.4,73.9,73.5,73.5
244.5,66.5,73.9,73.5,73.6
245.0,66.5,74.0,73.6,73.6
245.5,66.5,74.0,73.6,73.6
246.0,66.4,73.9,73.6,73.6
246.5,66.6,74.0,73.6,73.7
247.0,66.6,74.0,73.6,73.7
247.5,66.6,74.0,73.7,73.7
248.0,66.6,74.0,73.7,73.8
248.5,66.7,74.0,73.7,73.8
249.0,66.7,74.1,73.7,73.8
249.5,66.7,74.2,73.7,73.8
250.0,66.7,74.2,73.8,73.8
250.5,66.7,74.3,73.9,73.8
251.0,66.7,74.3,73.9,73.9
251.5,66.7,74.3,73.9,73.9
252.0,66.8,74.3,73.9,73.8
252.5,66.7,74.3,74.0,73.8
253.0,66.7,74.3,74.0,73.8
253.5,66.8,74.4,74.0,73.8
254.0,66.8,74.4,74.0,73.8
254.5,66.8,74.3,74.0,73.9
255.0,66.8,74.3,74.0,73.9
255.5,66.8,74.3,74.0,74.0
256.0,66.8,74.3,74.0,74.1
256.5,66.8,74.3,74.0,74.1
257.0,66.8,74.3,74.0,74.2
257.5,66.8,74.3,74.0,74.3
258.0,66.8,74.3,74.0,74.5
258.5,66.8,74.3,74.0,74.6
259.0,67.8,75.2,74.7,74.7
259.5,68.1,75.5,75.0,74.9
260.0,68.5,75.8,75.4,75.0
260.5,68.5,75.9,75.5,75.1
261.0,68.7,76.0,75.6,75.3
261.5,68.7,76.0,75.6,75.4
262.0,68.8,76.1,75.7,75.5
262.5,68.9,76.2,75.7,75.6
263.0,68.8,76.2,75.7,75.7
263.5,68.8,76.1,75.8,75.8
264.0,68.8,76.2,75.8,75.9
264.5,68.8,76.2,75.9,75.9
265.0,68.8,76.2,75.8,76.0
265.5,68.8,76.3,75.9,76.0
266.0,68.7,76.3,75.9,76.1
266.5,68.7,76.2,75.9,75.9
267.0,68.7,76.2,75.9,75.9
267.5,68.7,76.2,75.9,75.9
268.0,68.7,76.2,75.9,75.9
268.5,68.7,76.3,75.9,75.9
269.0,68.7,76.4,75.9,75.9
269.5,68.7,76.4,76.0,75.9
270.0,68.7,76.4,76.0,75.9
270.5,68.7,76.3,76.0,75.9
271.0,68.7,76.3,76.0,75.9
271.5,68.6,76.3,76.0,75.9
272.0,68.6,76.3,76.0,75.9
272.5,68.6,76.3,75.9,75.9
273.0,68.6,76.3,75.9,75.9
273.5,68.6,76.2,75.9,75.9
274.0,68.6,76.2,75.9,75.9
274.5,68.5,76.2,75.9,75.9
275.0,68.5,76.2,75.8,75.9
275.5,68.5,76.2,75.8,75.9
276.0,68.5,76.2,75.8,75.9
276.5,68.5,76.2,75.8,75.9
277.0,68.5,76.2,75.8,75.9
277.5,68.5,76.2,75.8,75.9
278.0,68.5,76.2,75.9,75.9
278.5,68.5,76.1,75.9,75.9
279.0,68.5,76.2,75.9,75.9
279.5,68.7,76.2,76.0,75.9
280.0,68.7,76.2,76.1,75.9
280.5,68.7,76.3,76.0,75.9
281.0,68.7,76.3,76.0,75.9
281.5,68.7,76.3,76.0,75.9
282.0,68.7,76.3,76.0,75.9
282.5,68.6,76.3,76.0,75.9
283.0,68.6,76.2,76.0,75.9
283.5,68.6,76.2,75.9,75.8
284.0,68.6,76.1,76.0,75.8
284.5,68.6,76.2,76.0,75.8
285.0,68.6,76.2,76.0,75.8
285.5,68.7,76.3,76.0,75.8
286.0,68.6,76.3,76.0,75.8
286.5,68.7,76.3,76.0,75.8
287.0,68.7,76.2,76.0,75.8
287.5,68.7,76.3,76.0,75.8
288.0,68.7,76.2,76.0,75.8
288.5,68.7,76.2,76.1,75.8
289.0,68.6,76.2,75.9,75.8
289.5,68.6,76.2,75.9,75.8
290.0,68.7,76.3,76.0,75.8
290.5,68.7,76.3,76.0,75.8
291.0,68.7,76.3,76.0,75.9
291.5,68.6,76.2,76.0,75.9
292.0,68.7,76.2,76.0,75.9
292.5,68.7,76.2,76.0,75.9
293.0,68.8,76.3,76.1,75.9
293.5,68.8,76.3,76.1,76.0
294.0,68.8,76.3,76.1,76.0
294.5,68.9,76.5,76.1,76.0
295.0,68.9,76.6,76.1,76.0
295.5,69.0,76.6,76.2,76.1
296.0,68.9,76.5,76.3,76.1
296.5,68.9,76.6,76.3,76.1
297.0,68.9,76.6,76.3,76.2
297.5,68.9,76.6,76.3,76.2
298.0,68.9,76.5,76.4,76.2
298.5,69.0,76.5,76.4,76.3
299.0,69.0,76.5,76.2,76.3
299.5,69.0,76.5,76.3,76.3
300.0,69.0,76.6,76.4,76.4
300.5,69.0,76.6,76.5,76.4
301.0,69.0,76.6,76.5,76.4
301.5,69.0,76.6,76.5,76.5
302.0,69.1,76.6,76.5,76.5
302.5,69.1,76.6,76.5,76.5
303.0,69.1,76.7,76.5,76.5
303.5,69.1,76.8,76.5,76.6
304.0,69.2,76.8,76.6,76.6
304.5,69.2,76.8,76.6,76.6
305.0,69.2,76.8,76.6,76.7
305.5,69.2,76.8,76.6,76.7
306.0,69.2,76.8,76.6,76.7
306.5,69.2,76.8,76.6,76.7
307.0,69.2,76.8,76.6,76.7
307.5,69.2,76.8,76.6,76.8
308.0,69.2,76.8,76.7,76.8
308.5,69.1,76.8,76.7,76.8
309.0,69.2,76.8,76.8,76.8
309.5,69.2,76.9,76.8,76.8
310.0,69.3,76.9,76.8,76.8
310.5,69.2,76.9,76.8,76.8
311.0,69.2,76.8,76.9,76.8
311.5,69.3,76.8,76.8,76.8
312.0,69.2,76.8,76.8,76.8
312.5,69.2,76.8,76.8,76.8
313.0,69.2,76.8,76.8,77.0
313.5,69.3,76.8,76.8,77.0
314.0,69.3,76.9,76.9,77.1
314.5,69.3,76.9,76.7,77.1
315.0,69.4,77.0,76.9,77.0
315.5,69.3,77.0,77.0,76.9
316.0,69.4,77.0,77.1,76.8
316.5,69.4,77.0,77.0,76.7
317.0,69.4,77.0,77.0,76.5
317.5,69.3,77.0,76.9,76.3
318.0,69.4,77.0,76.9,76.1
318.5,69.4,77.0,76.9,75.8
319.0,69.4,77.0,76.9,75.6
319.5,69.4,77.0,76.9,75.3
320.0,69.4,77.0,76.9,75.0
320.5,69.4,77.0,76.9,74.8
321.0,69.4,77.0,76.8,74.5
321.5,69.4,77.0,76.8,74.2
322.0,69.3,76.9,76.8,73.9
322.5,69.3,76.8,76.8,73.6
323.0,69.3,76.8,76.8,73.3
323.5,69.4,77.0,76.8,73.1
324.0,69.5,77.0,76.9,72.9
324.5,69.4,77.0,76.9,72.8
325.0,69.4,77.0,76.9,72.8
325.5,69.4,77.0,76.9,72.9
326.0,69.5,77.2,77.0,73.0
326.5,69.4,77.2,77.0,73.2
327.0,69.4,77.2,77.1,73.5
327.5,69.5,77.3,77.1,73.8
328.0,69.5,77.3,77.2,74.2
328.5,69.6,77.3,77.3,74.5
329.0,69.5,77.3,77.2,74.8
329.5,69.5,77.3,77.3,75.1
330.0,69.6,77.3,77.2,75.3
330.5,69.6,77.3,77.3,75.6
331.0,69.6,77.3,77.2,75.9
331.5,69.6,77.3,77.3,76.3
332.0,69.6,77.3,77.2,76.6
332.5,69.6,77.3,77.3,76.8
333.0,69.6,77.3,77.3,77.0
333.5,69.6,77.3,77.2,77.2
334.0,69.6,77.3,77.2,77.3
334.5,69.6,77.3,77.2,77.3
335.0,69.6,77.3,77.3,77.3
335.5,69.8,77.3,77.5,77.2
336.0,69.8,77.3,77.4,77.0
336.5,69.8,77.3,77.4,76.8
337.0,69.8,77.3,77.4,76.5
337.5,69.8,77.3,77.4,76.3
338.0,69.8,77.3,77.5,76.2
338.5,69.8,77.3,77.5,76.0
339.0,69.9,77.3,77.5,75.9
339.5,69.9,77.3,77.4,75.8
340.0,69.8,77.3,77.4,75.7
340.5,69.8,77.3,77.4,75.6
341.0,69.8,77.3,77.4,75.6
341.5,69.8,77.3,77.4,75.6
342.0,69.8,77.3,77.5,75.6
342.5,69.8,77.3,77.5,75.7
343.0,69.8,77.3,77.5,75.8
343.5,69.8,77.3,77.5,75.9
344.0,69.8,77.3,77.4,76.1
344.5,69.7,77.3,77.4,76.3
345.0,69.7,77.3,77.4,76.5
345.5,69.7,77.3,77.4,76.8
346.0,69.8,77.3,77.4,77.1
346.5,70.3,77.7,77.9,77.4
347.0,70.5,77.9,78.2,77.6
347.5,70.8,78.1,78.4,77.8
348.0,71.0,78.4,78.6,78.0
